,var38,var15,TARGET
110,84785.85,45,0
111,69981.72,30,0
112,75410.37,40,0
113,53029.5,76,0
114,45221.04,37,0
115,44064.93,23,0
116,59163.0,23,0
117,117310.979016,55,0
118,100797.03,23,0
119,89774.01,54,0
120,117310.979016,35,0
121,65978.88,30,0
122,69591.48,42,1
123,185447.22,23,0
124,84396.69,28,0
125,58777.29,23,0
126,105520.71,23,0
127,131774.97,31,0
128,86507.55,41,0
129,64311.36,28,0
130,294013.05,24,0
131,186236.34,63,0
132,117310.979016,23,0
133,69048.78,38,0
134,117310.979016,43,0
135,86410.5,45,0
136,130432.38,23,0
137,108845.91,27,0
138,65222.07,23,0
139,101456.79,32,0
140,210509.67,57,0
141,89128.44,36,0
142,57912.57,36,0
143,45928.5,23,0
144,91723.26,28,0
145,30024.12,34,0
146,117310.979016,23,0
147,110976.39,55,0
148,96648.51,80,0
149,117310.979016,37,0
150,79014.9,51,0
151,111410.58,29,0
152,56467.44,31,0
153,42978.45,26,0
154,61648.44,25,0
155,117310.979016,23,0
156,58084.53,38,0
157,117310.979016,55,0
158,239396.13,60,0
159,79688.37,24,0
160,71930.34,26,0
161,117310.979016,31,0
162,45265.38,31,1
163,109595.55,62,1
164,117310.979016,27,0
165,63648.57,56,0
166,81591.75,52,0
167,117310.979016,24,0
168,36969.45,29,0
169,48426.3,23,0
170,95712.93,23,0
171,54689.01,32,0
172,117310.979016,38,0
173,157526.34,24,0
174,95251.92,24,1
175,68632.98,23,0
176,203424.36,23,0
177,117310.979016,23,0
178,117310.979016,23,0
179,234692.94,23,0
180,117310.979016,57,1
181,172933.98,25,0
182,150948.42,30,0
183,64822.17,36,0
184,237627.24,22,0
185,84466.38,24,0
186,117310.979016,61,0
187,117310.979016,23,0
188,98212.23,32,1
189,183841.44,30,0
190,57358.74,31,0
191,117310.979016,26,0
192,145599.06,27,0
193,174618.3,23,0
194,38522.64,23,0
195,117310.979016,32,0
196,117310.979016,23,0
197,22237.38,23,0
198,112511.97,23,0
199,165191.58,71,0
200,347962.41,23,0
201,38308.23,23,0
202,92121.36,36,0
203,50972.85,29,0
204,416583.03,25,0
205,71501.1,45,0
206,1374570.75,23,0
207,141187.53,88,0
208,59316.45,24,0
209,63203.34,45,0
210,117310.979016,39,0
211,36780.45,23,0
212,167222.52,59,0
213,96494.16,36,0
214,412668.78,23,0
215,116531.64,30,0
216,182846.85,23,0
217,78252.81,53,0
218,117310.979016,23,0
219,117310.979016,33,0
220,170310.93,23,0
221,30290.64,23,0
222,74486.55,44,0
223,117310.979016,23,0
224,117310.979016,23,0
225,107570.16,24,0
226,83948.1,23,0
227,22763.58,25,0
228,117310.979016,44,0
229,154851.96,37,0
230,45678.3,31,0
231,57561.63,23,0
232,39815.55,23,0
233,48861.0,38,0
234,93648.99,23,0
235,359419.14,55,0
236,120388.89,24,0
237,54443.31,23,0
238,80056.14,60,0
239,117310.979016,28,0
240,83266.14,34,0
241,186291.03,64,0
242,117310.979016,26,0
243,65166.39,25,0
244,117310.979016,23,0
245,117310.979016,23,0
246,61771.95,24,0
247,117310.979016,33,0
248,117310.979016,34,0
249,71070.3,23,0
250,268640.97,27,0
251,283117.71,24,0
252,115657.23,36,0
253,96617.22,100,0
254,105827.07,38,0
255,50527.26,24,0
256,117310.979016,23,0
257,50647.68,23,0
258,87471.24,31,0
259,40853.31,28,1
260,386898.18,28,0
261,156278.34,37,0
262,117310.979016,43,0
263,117310.979016,52,0
264,79380.0,22,0
265,104087.28,27,0
266,88460.91,22,0
267,65961.69,32,0
268,157787.19,30,1
269,117310.979016,55,0
270,62581.86,38,0
271,119530.92,27,0
272,117310.979016,24,0
273,117310.979016,43,0
274,71858.94,23,0
275,117310.979016,23,0
276,79973.88,25,0
277,137151.15,60,0
278,87288.69,51,0
279,196439.1,74,0
280,90773.76,23,0
281,117310.979016,27,0
282,182891.07,26,0
283,234128.46,23,0
284,117310.979016,25,0
285,155866.5,32,0
286,80623.89,32,0
287,117310.979016,26,0
288,108933.27,24,0
289,117310.979016,23,0
290,117310.979016,22,0
291,117716.88,86,0
292,81199.74,31,0
293,149428.89,39,0
294,55279.29,25,0
295,273655.38,63,0
296,51297.51,59,0
297,72815.4,44,0
298,191698.29,40,0
299,52962.45,40,0
300,26619.24,44,1
301,39143.34,30,0
302,117310.979016,28,0
303,117310.979016,34,0
304,114905.67,52,0
305,80705.76,52,0
306,144837.0,23,0
307,37727.49,23,0
308,108908.34,24,0
309,63611.34,28,0
310,117310.979016,23,0
311,42264.45,36,1
312,328239.84,27,0
313,81088.2,28,0
314,53549.49,30,0
315,233512.68,29,0
316,85286.28,23,0
317,141630.39,25,0
318,175566.93,25,0
319,58371.54,30,0
320,83551.41,23,0
321,66866.58,27,0
322,232500.45,24,0
323,128121.45,37,0
324,31092.45,24,0
325,57485.28,38,1
326,117310.979016,25,0
327,90380.61,33,0
328,127201.86,73,0
329,85641.42,24,0
330,69193.17,23,0
331,124590.3,29,0
332,120032.46,35,0
333,97978.05,37,0
334,68097.54,23,0
335,117310.979016,28,0
336,80492.67,36,1
337,101973.87,30,0
338,79757.79,80,0
339,117310.979016,50,0
340,117310.979016,25,0
341,86641.86,77,0
342,100253.37,28,0
343,117310.979016,24,0
344,103287.6,23,0
345,117310.979016,37,0
346,117310.979016,35,0
347,50230.14,36,0
348,72054.27,48,0
349,117310.979016,23,0
350,119238.72,72,0
351,70882.5,30,0
352,117310.979016,39,0
353,80073.87,45,0
354,64866.96,22,0
355,54887.1,25,0
356,107923.98,34,0
357,86363.31,26,0
358,117797.64,24,0
359,67047.6,24,0
360,75485.82,23,0
361,36178.68,38,0
362,70588.41,38,0
363,141293.7,34,1
364,117310.979016,23,0
365,51396.93,51,1
366,117060.3,23,0
367,117310.979016,27,0
368,117310.979016,23,0
369,268504.08,25,0
370,89761.29,23,0
371,149698.32,32,0
372,58495.56,25,0
373,116245.23,34,0
374,92912.4,48,0
375,117310.979016,23,0
376,94641.24,43,0
377,90883.44,45,0
378,132356.25,23,0
379,117310.979016,34,0
380,114088.98,50,0
381,324294.3,29,0
382,124095.3,41,0
383,117310.979016,39,0
384,117310.979016,30,0
385,131087.7,37,0
386,544584.84,46,0
387,29016.0,29,0
388,80969.94,31,0
389,132050.88,30,0
390,105229.11,24,0
391,117310.979016,23,0
392,52148.37,23,0
393,43674.3,23,0
394,77630.16,26,0
395,131441.67,27,1
396,117310.979016,23,0
397,75652.56,52,0
398,131846.31,23,0
399,119707.2,34,0
400,49596.15,51,0
401,115169.73,23,0
402,117310.979016,24,0
403,99165.99,24,0
404,101220.81,23,0
405,116524.8,23,0
406,116258.73,45,0
407,28693.92,23,0
408,117310.979016,35,0
409,70207.53,41,0
410,71829.12,23,0
411,117310.979016,56,1
412,60098.49,41,0
413,84237.54,68,0
414,86658.57,38,0
415,129147.96,35,0
416,69055.02,42,0
417,117310.979016,23,0
418,152748.96,55,0
419,148968.36,29,0
420,66997.47,35,0
421,126683.82,23,0
422,135728.43,29,0
423,177841.86,44,0
424,1069263.06,51,0
425,201217.53,23,0
426,75087.81,28,0
427,88620.93,24,0
428,97911.99,23,0
429,82420.38,23,0
430,92534.7,25,0
431,80154.87,38,0
432,62397.03,49,0
433,54046.29,68,0
434,109607.01,28,0
435,83080.59,23,0
436,117310.979016,29,0
437,59771.61,24,0
438,117310.979016,30,0
439,21300.03,25,0
440,189002.49,23,0
441,74281.41,53,0
442,83036.04,25,0
443,93480.09,65,0
444,117310.979016,48,0
445,5431377.63,23,0
446,117310.979016,23,0
447,10528.47,47,0
448,96288.21,36,0
449,117310.979016,32,0
450,140790.21,28,0
451,211939.05,25,0
452,117310.979016,43,0
453,103275.84,23,0
454,86826.03,35,0
455,39773.04,24,0
456,80795.94,25,0
457,124721.91,57,0
458,117310.979016,26,0
459,45582.96,23,0
460,113402.82,25,0
461,90549.36,34,0
462,53800.11,24,0
463,267838.56,72,0
464,97318.95,51,0
465,81513.36,34,0
466,69593.55,31,0
467,192647.49,30,1
468,46833.0,23,0
469,125133.93,23,0
470,267218.01,23,0
471,50658.18,23,0
472,278500.53,25,0
473,113322.45,30,0
474,174895.71,23,0
475,103666.83,27,0
476,117310.979016,30,0
477,117310.979016,23,0
478,45447.24,46,0
479,61653.75,24,0
480,72124.11,23,0
481,117310.979016,51,0
482,59226.39,31,0
483,178385.4,23,0
484,80889.27,23,0
485,131768.82,23,0
486,65076.12,44,0
487,153874.08,23,0
488,131405.85,36,0
489,47063.07,25,0
490,63322.65,23,0
491,52266.21,23,0
492,68260.35,68,0
493,78217.08,48,1
494,117310.979016,23,0
495,74322.15,30,0
496,117310.979016,23,0
497,52297.41,27,0
498,82714.59,54,1
499,157568.34,23,0
500,209661.03,51,0
501,98790.54,48,0
502,127993.35,21,0
503,321608.34,26,0
504,117310.979016,23,0
505,208128.96,75,0
506,30428.91,31,0
507,76627.71,31,0
508,42306.99,23,0
509,80669.64,42,0
510,44556.51,42,0
511,181276.77,26,0
512,88348.02,23,0
513,404953.89,44,0
514,130840.2,51,0
515,117310.979016,31,0
516,48693.87,25,0
517,109252.08,23,0
518,32009.43,23,0
519,53316.12,23,0
520,42554.13,22,0
521,345158.7,27,0
522,56986.92,41,0
523,113549.43,27,0
524,56713.35,40,0
525,70971.3,31,0
526,46484.19,55,0
527,117310.979016,29,0
528,117310.979016,48,0
529,196317.9,24,0
530,117310.979016,53,0
531,117310.979016,43,0
532,22691.49,75,0
533,117310.979016,23,0
534,143834.49,58,0
535,316101.57,31,0
536,91143.12,34,0
537,117310.979016,24,0
538,316751.88,24,0
539,104342.19,67,0
540,77153.61,27,0
541,117310.979016,24,0
542,108880.56,27,0
543,49633.8,43,0
544,117310.979016,25,0
545,107641.92,46,0
546,52571.22,23,0
547,38883.87,23,0
548,123091.23,47,0
549,286721.1,26,0
550,117310.979016,54,0
551,348110.7,27,0
552,155719.35,26,0
553,38310.96,33,0
554,68494.32,42,0
555,120137.25,24,0
556,74987.61,23,0
557,158789.64,23,0
558,234673.53,33,0
559,48869.88,23,0
560,117310.979016,13,0
561,112197.57,29,0
562,104790.18,23,0
563,73150.53,24,0
564,108418.71,23,0
565,117310.979016,42,0
566,117310.979016,25,0
567,117310.979016,23,0
568,117310.979016,61,1
569,71609.37,23,0
570,110661.15,32,1
571,43408.83,37,1
572,41059.44,26,0
573,61655.25,23,0
574,176283.63,23,0
575,93660.99,41,0
576,111304.62,23,0
577,44159.34,28,0
578,208519.2,40,0
579,124669.14,23,0
580,98377.44,35,0
581,108487.56,24,0
582,75250.92,25,0
583,49337.97,45,0
584,158954.16,24,0
585,117310.979016,27,0
586,117310.979016,36,0
587,58455.93,23,0
588,176365.56,53,0
589,50298.81,23,0
590,48202.71,25,0
591,117310.979016,23,0
592,74373.66,23,0
593,117310.979016,27,0
594,208516.08,23,0
595,39318.18,23,0
596,67823.52,49,1
597,117310.979016,34,0
598,117310.979016,40,0
599,117441.63,23,0
600,76049.52,23,0
601,117310.979016,38,1
602,288768.87,23,0
603,130806.78,48,0
604,117310.979016,23,0
605,294409.08,27,0
606,160862.19,52,0
607,133072.44,51,0
608,107638.29,54,0
609,117310.979016,24,0
610,59776.17,26,0
611,75693.39,27,0
612,74688.81,35,0
613,126313.98,71,0
614,84112.26,26,0
615,164043.09,32,0
616,174064.89,36,0
617,208363.68,25,0
618,217192.89,83,0
619,117310.979016,24,0
620,73717.59,23,0
621,207467.73,30,0
622,83720.97,44,0
623,118465.02,26,0
624,146764.41,23,0
625,91720.41,27,0
626,59378.82,24,0
627,80329.74,29,0
628,61897.08,23,0
629,99613.92,31,0
630,89154.72,23,0
631,127179.03,23,0
632,30085.95,23,0
633,124710.93,48,0
634,81963.69,46,0
635,111086.91,46,0
636,49550.58,54,0
637,126313.8,23,0
638,226847.76,27,0
639,140622.51,43,0
640,41779.98,23,1
641,117310.979016,87,0
642,335295.78,23,0
643,78549.69,26,0
644,18562.08,37,0
645,39188.67,23,0
646,106442.1,58,0
647,145934.73,23,0
648,34261.38,25,0
649,87772.11,26,0
650,97328.37,24,0
651,57863.13,23,0
652,83849.01,38,0
653,95829.87,42,0
654,119106.66,23,0
655,80292.96,32,0
656,94784.61,23,0
657,121691.04,23,0
658,147039.69,35,0
659,117310.979016,25,0
660,106809.6,25,0
661,117310.979016,36,0
662,96138.12,32,0
663,109428.78,40,0
664,66846.72,24,0
665,117310.979016,24,0
666,39021.87,30,0
667,87850.32,26,0
668,76417.53,34,0
669,113696.82,51,0
670,95510.49,36,0
671,68610.66,30,0
672,117310.979016,24,0
673,124070.1,32,0
674,23559.15,45,0
675,117310.979016,55,0
676,117310.979016,23,0
677,117310.979016,38,0
678,117310.979016,40,0
679,43500.96,47,0
680,95729.85,23,0
681,117310.979016,45,0
682,60021.21,23,0
683,19546.5,36,0
684,59889.21,28,0
685,28205.67,36,0
686,36162.15,23,0
687,108659.43,29,0
688,117310.979016,23,0
689,63015.72,25,0
690,86188.17,44,0
691,162146.61,48,0
692,83053.14,23,0
693,647160.72,25,0
694,104032.53,27,0
695,47335.98,24,0
696,117310.979016,44,0
697,176361.87,36,0
698,117310.979016,23,0
699,112709.19,23,0
700,54614.13,54,1
701,63359.46,40,0
702,42495.66,23,0
703,117310.979016,84,0
704,55837.71,74,0
705,68016.72,23,0
706,117310.979016,45,0
707,148532.61,23,0
708,97791.18,23,0
709,72868.89,23,0
710,54073.74,27,0
711,46868.1,23,0
712,108463.23,38,0
713,117310.979016,53,0
714,153147.84,25,0
715,91470.66,30,0
716,40498.26,24,0
717,75207.09,43,1
718,117310.979016,27,0
719,186867.63,70,1
720,109737.84,47,0
721,126878.64,45,0
722,96973.86,23,0
723,107481.51,26,0
724,68272.05,23,0
725,72557.76,27,0
726,72186.15,23,0
727,87899.88,26,0
728,117310.979016,29,0
729,125299.38,24,0
730,117310.979016,37,0
731,104298.45,23,0
732,107352.0,38,1
733,66245.79,23,0
734,94628.88,78,0
735,126516.57,23,0
736,55318.92,27,0
737,96571.53,23,0
738,94124.22,30,0
739,421804.32,23,0
740,52307.64,25,0
741,90552.18,55,0
742,202105.98,25,0
743,86974.53,23,0
744,31210.98,23,0
745,114371.28,25,0
746,39192.66,37,0
747,133262.1,23,0
748,117310.979016,59,0
749,117310.979016,26,0
750,150266.67,42,0
751,65798.28,51,0
752,53060.07,37,1
753,291264.39,27,0
754,113133.96,41,0
755,66789.48,28,0
756,60496.8,26,0
757,117310.979016,31,0
758,116379.66,42,0
759,65711.07,39,0
760,85016.58,27,0
761,128703.39,57,0
762,117310.979016,24,0
763,97885.08,23,0
764,185908.23,47,0
765,93282.48,56,0
766,54193.8,49,0
767,336642.21,23,0
768,117310.979016,37,0
769,71125.86,24,0
770,86016.6,26,0
771,50366.46,35,0
772,29787.0,41,0
773,145861.5,34,1
774,152964.27,37,0
775,71883.39,23,0
776,109049.46,33,0
777,121594.56,24,0
778,60909.36,60,0
779,55760.88,34,0
780,81589.71,47,0
781,117310.979016,24,0
782,117310.979016,33,0
783,117008.19,44,0
784,117310.979016,23,0
785,68109.27,35,0
786,117310.979016,29,0
787,117310.979016,27,0
788,117310.979016,38,1
789,48044.01,23,0
790,117310.979016,55,0
791,45634.38,44,0
792,33822.21,23,0
793,212122.23,55,0
794,77952.15,24,0
795,117310.979016,23,0
796,125060.82,23,0
797,117310.979016,36,0
798,117310.979016,37,0
799,62760.99,23,0
800,79208.28,34,1
801,242310.72,23,0
802,71392.92,51,0
803,82428.81,30,0
804,117310.979016,55,0
805,56154.66,23,0
806,85878.51,23,0
807,306766.05,23,0
808,63400.29,25,0
809,108964.86,85,0
810,83247.06,23,0
811,34571.97,25,0
812,71700.78,53,0
813,187696.74,58,0
814,52338.66,36,0
815,91879.2,40,0
816,117310.979016,31,0
817,154497.0,44,0
818,36847.92,22,0
819,117310.979016,22,0
820,81821.16,28,0
821,219672.66,23,0
822,161390.97,53,0
823,93003.27,44,0
824,124968.45,22,0
825,36710.88,25,0
826,328156.86,23,0
827,189880.17,24,0
828,39238.5,40,0
829,82524.78,54,1
830,95112.81,23,0
831,176493.84,27,0
832,117310.979016,27,0
833,167954.88,38,0
834,100208.82,47,0
835,45189.33,38,0
836,185001.48,39,0
837,145795.2,23,0
838,61049.85,41,0
839,52844.76,23,0
840,128455.47,41,0
841,74972.4,23,0
842,183585.27,25,0
843,86907.78,24,0
844,67106.88,22,0
845,183754.08,23,0
846,174839.61,48,0
847,117310.979016,23,0
848,50677.89,41,0
849,125411.1,23,0
850,231714.09,23,0
851,102960.33,29,0
852,63420.42,43,0
853,186713.04,23,0
854,46178.07,31,0
855,48449.13,23,0
856,117310.979016,23,0
857,117310.979016,23,0
858,279538.2,31,0
859,48921.69,27,0
860,101492.34,17,0
861,182463.63,26,0
862,56193.75,23,0
863,37711.83,23,0
864,117310.979016,22,0
865,159045.36,24,0
866,103037.07,23,0
867,117310.979016,44,0
868,201061.74,68,0
869,69650.7,34,0
870,53803.53,75,0
871,110500.41,23,0
872,117310.979016,23,0
873,113841.0,23,0
874,117310.979016,27,0
875,108623.07,23,0
876,200637.9,53,0
877,138056.91,47,0
878,117310.979016,23,0
879,90896.49,24,0
880,211283.7,23,0
881,82076.58,54,0
882,58234.44,43,0
883,117310.979016,30,0
884,181370.61,25,0
885,157273.26,23,0
886,52511.34,23,0
887,117310.979016,39,0
888,62199.57,40,0
889,153112.44,84,0
890,117310.979016,26,0
891,117310.979016,23,0
892,117310.979016,94,0
893,117310.979016,23,0
894,106452.3,22,0
895,71580.12,33,0
896,117310.979016,25,1
897,37394.85,43,1
898,57855.51,79,0
899,65828.82,56,0
900,77498.58,23,0
901,128361.6,49,0
902,85628.61,65,0
903,228619.89,23,0
904,157553.25,23,0
905,192611.91,27,0
906,65791.8,24,0
907,117310.979016,56,0
908,121954.8,24,0
909,78226.59,56,0
910,117310.979016,23,0
911,118704.81,23,0
912,365715.24,23,0
913,14034.69,35,0
914,46042.98,73,0
915,94565.34,23,0
916,51452.07,36,0
917,38008.77,23,0
918,117310.979016,57,0
919,75700.62,29,0
920,53688.63,41,0
921,117310.979016,23,0
922,674236.41,23,0
923,110254.35,33,0
924,37010.94,30,0
925,44966.88,25,0
926,89515.41,23,0
927,77874.66,26,0
928,203261.28,58,0
929,151078.83,46,0
930,51960.69,25,0
931,67836.99,23,0
932,71394.78,23,0
933,64032.75,66,0
934,209877.27,30,0
935,60179.7,54,1
936,51523.8,32,0
937,96891.3,23,0
938,89209.92,23,0
939,59774.55,55,0
940,117310.979016,23,0
941,54814.62,23,0
942,76269.75,36,0
943,135458.01,35,0
944,117310.979016,27,0
945,120721.17,49,0
946,194988.72,44,0
947,146730.27,45,0
948,102208.92,30,0
949,70279.32,26,0
950,140222.46,24,0
951,117761.97,47,0
952,117310.979016,23,0
953,117310.979016,23,0
954,55258.98,30,0
955,65853.03,50,0
956,129217.77,33,0
957,290627.79,73,0
958,574386.87,23,0
959,54526.62,44,0
960,90827.61,33,0
961,133370.1,28,0
962,85640.58,23,0
963,209717.58,24,0
964,226888.89,24,0
965,39151.53,44,0
966,132843.27,23,0
967,105445.05,24,0
968,200900.22,23,0
969,117310.979016,32,0
970,117310.979016,38,0
971,93090.42,22,0
972,117310.979016,22,0
973,46765.89,23,0
974,27394.05,23,0
975,51951.33,49,0
976,65362.05,35,0
977,76975.14,67,0
978,117310.979016,23,0
979,181680.84,23,0
980,165676.02,23,0
981,66877.65,25,0
982,117310.979016,48,0
983,95919.96,27,0
984,117310.979016,47,0
985,64224.63,52,0
986,117310.979016,24,0
987,117310.979016,25,0
988,59499.69,24,0
989,117310.979016,35,0
990,41318.4,23,0
991,113861.19,55,0
992,60729.66,31,0
993,108467.07,30,0
994,203618.1,28,0
995,62226.93,45,1
996,97979.91,48,0
997,58450.71,32,0
998,181089.45,25,0
999,117310.979016,39,0
1000,117310.979016,44,0
1001,70581.42,24,0
1002,129929.16,23,0
1003,101574.06,27,0
1004,117310.979016,35,0
1005,82321.65,23,0
1006,178357.62,39,0
1007,117310.979016,28,0
1008,117310.979016,74,0
1009,117310.979016,23,0
1010,73434.54,24,0
1011,63525.51,23,0
1012,207608.64,36,0
1013,59070.12,53,0
1014,52071.78,30,0
1015,101697.21,28,0
1016,78907.71,23,0
1017,35010.24,49,0
1018,115539.81,31,0
1019,48767.49,23,0
1020,38271.09,53,0
1021,117310.979016,41,0
1022,113866.65,23,0
1023,117310.979016,23,0
1024,38272.44,43,1
1025,117310.979016,34,0
1026,85065.57,52,0
1027,35509.77,29,0
1028,125798.97,30,0
1029,117310.979016,44,0
1030,214948.77,30,0
1031,128521.2,24,0
1032,149636.61,23,0
1033,117310.979016,35,1
1034,149129.67,39,0
1035,59558.58,23,0
1036,60885.39,48,0
1037,117310.979016,41,0
1038,139725.96,23,0
1039,117310.979016,41,0
1040,71599.59,43,0
1041,70635.18,24,0
1042,239831.67,46,0
1043,386783.31,25,0
1044,64889.34,47,0
1045,146255.43,39,0
1046,27577.14,23,0
1047,73814.07,48,0
1048,53785.14,37,0
1049,160807.53,34,0
1050,54041.76,24,0
1051,117310.979016,22,0
1052,265019.55,62,0
1053,27443.1,22,0
1054,76692.06,24,0
1055,117310.979016,17,0
1056,359923.77,24,0
1057,117310.979016,34,0
1058,54996.51,23,0
1059,92935.53,23,0
1060,63071.28,23,0
1061,127642.38,51,0
1062,117310.979016,29,0
1063,92854.02,23,0
1064,162486.54,23,0
1065,42503.19,23,0
1066,639067.77,60,0
1067,153064.5,25,0
1068,69234.03,34,0
1069,49943.22,56,0
1070,114909.66,30,0
1071,121968.39,44,0
1072,117310.979016,39,0
1073,33927.18,27,0
1074,33331.89,26,0
1075,42012.12,24,0
1076,98308.29,50,0
1077,174355.77,37,0
1078,138101.94,23,0
1079,121773.99,30,0
1080,132323.97,30,0
1081,74402.46,32,0
1082,43378.71,31,0
1083,88689.96,26,0
1084,105326.79,32,0
1085,87249.66,31,0
1086,117310.979016,38,0
1087,67029.66,39,0
1088,50764.29,23,0
1089,117310.979016,24,0
1090,217161.84,23,0
1091,117310.979016,42,0
1092,65815.86,22,0
1093,117310.979016,23,0
1094,404998.71,29,0
1095,571962.3,40,0
1096,117310.979016,23,0
1097,83074.62,23,0
1098,95142.42,36,0
1099,75555.3,24,0
1100,125603.85,72,0
1101,117310.979016,23,0
1102,117310.979016,38,0
1103,50231.28,54,0
1104,215082.12,23,0
1105,257012.46,25,0
1106,117310.979016,23,0
1107,117310.979016,23,0
1108,117310.979016,23,0
1109,60307.68,59,0
1110,51412.8,23,0
1111,127056.63,32,0
1112,56057.79,24,0
1113,74097.09,38,0
1114,117310.979016,23,0
1115,153767.67,24,0
1116,86704.83,44,0
1117,138702.81,38,0
1118,73566.12,24,0
1119,153242.91,23,0
1120,112279.26,34,0
1121,74062.71,23,0
1122,253612.89,38,0
1123,80751.51,23,0
1124,66025.62,28,0
1125,82863.9,65,0
1126,59181.03,40,0
1127,73178.79,23,0
1128,117310.979016,25,0
1129,157878.54,28,0
1130,191548.83,33,0
1131,71515.74,44,0
1132,117310.979016,46,0
1133,203324.67,44,0
1134,34338.36,26,0
1135,37157.64,40,0
1136,66818.61,25,0
1137,97649.91,38,0
1138,117310.979016,27,0
1139,93398.37,29,0
1140,36023.7,36,0
1141,55202.37,59,0
1142,117310.979016,29,0
1143,34448.73,29,0
1144,117310.979016,23,0
1145,42621.39,58,0
1146,249957.03,53,0
1147,248897.88,23,0
1148,32664.96,31,0
1149,75978.27,23,0
1150,197402.61,25,0
1151,56614.89,23,0
1152,122989.32,31,1
1153,68807.79,31,0
1154,76379.1,26,0
1155,48783.81,26,0
1156,93006.15,41,0
1157,48508.23,23,0
1158,110338.38,41,0
1159,117310.979016,23,0
1160,117310.979016,35,0
1161,33770.1,30,1
1162,273084.99,75,0
1163,84487.98,23,0
1164,140119.17,23,0
1165,248207.22,30,0
1166,112351.11,62,0
1167,51098.67,23,0
1168,54792.54,32,0
1169,65445.57,23,0
1170,152329.62,23,0
1171,117310.979016,23,0
1172,117310.979016,23,0
1173,76778.04,59,0
1174,59412.87,38,1
1175,48467.73,32,0
1176,92297.64,22,0
1177,117310.979016,57,0
1178,19242.21,24,0
1179,186370.8,25,0
1180,117310.979016,23,0
1181,554040.18,26,0
1182,117310.979016,36,0
1183,117310.979016,23,0
1184,70853.4,57,0
1185,117310.979016,24,0
1186,78073.74,37,0
1187,184027.98,44,0
1188,90942.69,26,0
1189,33184.02,53,0
1190,118652.94,28,0
1191,76772.37,31,0
1192,46677.36,24,0
1193,75804.0,23,0
1194,250990.56,23,0
1195,117310.979016,27,0
1196,55586.7,24,0
1197,57256.77,32,0
1198,151653.99,37,0
1199,39204.36,27,0
1200,117310.979016,40,0
1201,28993.11,25,0
1202,212643.18,23,0
1203,153664.14,35,0
1204,93691.02,24,0
1205,127301.88,23,0
1206,96978.21,64,0
1207,75021.84,23,0
1208,44053.05,23,0
1209,117310.979016,32,0
1210,116539.83,26,0
1211,62578.14,25,0
1212,142273.11,31,0
1213,84654.96,34,0
1214,70286.07,45,0
1215,27275.61,89,0
1216,54939.06,39,0
1217,68816.4,22,0
1218,74697.15,23,0
1219,73418.37,38,0
1220,41363.25,27,0
1221,117310.979016,23,0
1222,50082.99,27,0
1223,64159.47,23,0
1224,78087.54,23,0
1225,500725.35,23,0
1226,49790.64,23,0
